SITE_NO,RSQA_STUDY,RSQA_STUDY_DESC,STATION_NM,LAT_VA,LONG_VA,DEC_LAT_VA,DEC_LONG_VA,COORD_METH_DESC,COORD_ACY_DESC,COORD_DATUM_CD,COUNTY_NM,STATE_NM,STATE_ABBREV
11465690,CSQA,California Stream-Quality Assessment,COLGAN C NR SANTA ROSA CA,382408,1224355,38.40213524,-122.7330434,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
3.83321E+14,CSQA,California Stream-Quality Assessment,NAPA R A BALE LN NR DEER PARK CA,383321.24,1223021.6,38.5559,-122.506,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Napa County,California,CA
3.8041E+14,CSQA,California Stream-Quality Assessment,ARROYO SAN JOSE A DIGITAL DR NR NOVATO CA,380410.19,1223155.19,38.06949722,-122.5319972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Marin County,California,CA
11456500,CSQA,California Stream-Quality Assessment,CONN C NR OAKVILLE CA,382650.2,1222250,38.44727778,-122.3805556,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Napa County,California,CA
3.82017E+14,CSQA,California Stream-Quality Assessment,MILLIKEN C BL HEDGESIDE AVE NR NAPA CA,382017,1221611,38.33805556,-122.2697222,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Napa County,California,CA
3.81441E+14,CSQA,California Stream-Quality Assessment,SUISUN C A ROCKVILLE CA,381441.27,1220643.19,38.24479722,-122.1119972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Solano County,California,CA
11141280,CSQA,California Stream-Quality Assessment,LOPEZ C NR ARROYO GRANDE CA,351408,1202817,35.23553035,-120.4723857,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,San Luis Obispo County,California,CA
3.83305E+14,CSQA,California Stream-Quality Assessment,RITCHEY C NR DEER PARK CA,383305.04,1223119.2,38.5514,-122.522,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Napa County,California,CA
3.83109E+14,CSQA,California Stream-Quality Assessment,MARK WEST C A TARWATER RD NR CALISTOGA CA,383108.57,1223633.2,38.51904722,-122.6092222,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
11135250,CSQA,California Stream-Quality Assessment,SANTA YNEZ R A 13TH ST BRIDGE A VAFB NR LOMPOC CA,344035.82,1203312.2,34.67661667,-120.5533889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Barbara County,California,CA
11458500,CSQA,California Stream-Quality Assessment,SONOMA C A AGUA CALIENTE CA,381924,1222936,38.32324705,-122.4944258,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
3.81556E+14,CSQA,California Stream-Quality Assessment,SONOMA C A WATMAUGH RD BR NR SONOMA CA,381556.87,1222802.63,38.26579722,-122.4673972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
11465660,CSQA,California Stream-Quality Assessment,COPELAND C A ROHNERT PARK CA,382036,1224203,38.34324776,-122.7019317,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
3.8174E+14,CSQA,California Stream-Quality Assessment,LICHAU C A PENNGROVE CA,381740.13,1223958.9,38.29448056,-122.6663611,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
3.81519E+14,CSQA,California Stream-Quality Assessment,PETALUMA R NR PETALUMA CA,381519.07,1223856.4,38.25529722,-122.649,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
3.80345E+14,CSQA,California Stream-Quality Assessment,ARROYO SAN JOSE A FAIRWAY DR NR NOVATO CA,380344.63,1223451.6,38.06239722,-122.581,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Marin County,California,CA
3.52127E+14,CSQA,California Stream-Quality Assessment,CHORRO C A CHORRO C RD NR MORRO BAY CA,352127.03,1204844.87,35.35750833,-120.8124639,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Luis Obispo County,California,CA
11128500,CSQA,California Stream-Quality Assessment,SANTA YNEZ R A SOLVANG CA,343506,1200837,34.58498706,-120.1445926,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Barbara County,California,CA
3.65718E+14,CSQA,California Stream-Quality Assessment,UNNAMED TRIB A PAULSEN RD NR FREEDOM CA,365717.99,1214443.08,36.95499722,-121.7453,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Cruz County,California,CA
3.52934E+14,CSQA,California Stream-Quality Assessment,ATASCADERO C A W MALL BR A ATASCADERO CA,352934.38,1203954.59,35.49288333,-120.6651639,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Luis Obispo County,California,CA
11141050,CSQA,California Stream-Quality Assessment,ORCUTT C NR ORCUTT CA,345301,1202938,34.88359037,-120.4948883,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Barbara County,California,CA
3.51725E+14,CSQA,California Stream-Quality Assessment,STENNER C A MURRAY AVE A SAN LUIS OBISPO CA,351725.44,1203958.75,35.2904,-120.6663194,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Luis Obispo County,California,CA
11159000,CSQA,California Stream-Quality Assessment,PAJARO R A CHITTENDEN CA,365401,1213548,36.9002307,-121.5977215,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Cruz County,California,CA
3.51436E+14,CSQA,California Stream-Quality Assessment,SAN LUIS OBISPO C A LOS OSOS VLY RD NR SAN LUIS OB,351436,1204052,35.24333333,-120.6811111,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,San Luis Obispo County,California,CA
