SITE_NO,RSQA_STUDY,RSQA_STUDY_DESC,STATION_NM,LAT_VA,LONG_VA,DEC_LAT_VA,DEC_LONG_VA,COORD_METH_DESC,COORD_ACY_DESC,COORD_DATUM_CD,COUNTY_NM,STATE_NM,STATE_ABBREV
11152000,CSQA,California Stream-Quality Assessment,ARROYO SECO NR SOLEDAD CA,361650,1211918,36.28052076,-121.3227063,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
11150500,CSQA,California Stream-Quality Assessment,SALINAS R NR BRADLEY CA,355549,1205204,35.93024343,-120.8687915,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Monterey County,California,CA
3.64003E+14,CSQA,California Stream-Quality Assessment,ALISAL C A FAIRVIEW AVE NR SALINAS CA,364002.1,1213737.2,36.66725,-121.627,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
11152650,CSQA,California Stream-Quality Assessment,RECLAMATION DITCH NR SALINAS CA,364218,1214214,36.70495861,-121.7049475,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
3.65736E+14,CSQA,California Stream-Quality Assessment,PACHECO C A SAN FELIPE RD NR DUNNEVILLE CA,365736,1212508.39,36.96,-121.4189972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Benito County,California,CA
3.65634E+14,CSQA,California Stream-Quality Assessment,TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA,365633.72,1212640.2,36.9427,-121.4445,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Benito County,California,CA
3.64155E+14,CSQA,California Stream-Quality Assessment,NATIVIDAD C NR SALINAS CA,364155.32,1213638.6,36.6987,-121.6107222,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
3.9434E+14,MSQA,Midwest Stream-Quality Assessment,"SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN",394340,855246,39.72782144,-85.8794246,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Hancock County,Indiana,IN
5457200,MSQA,Midwest Stream-Quality Assessment,"CEDAR RIVER AT 100TH ST. NEAR LYLE, MN",433051.2,930010.3,43.51422222,-93.00286111,Differential Global Positioning System (DGPS),Accurate to +/- .1 second (differentially corrected GPS),NAD83     ,Mower County,Minnesota,MN
5315295,MSQA,Midwest Stream-Quality Assessment,"THREEMILE CREEK AT 210TH AVE NEAR GHENT, MN",442924.9,955238.8,44.49025,-95.87744444,Interpolated from Digital Map,Accurate to +/- .1 second (differentially corrected GPS),NAD83     ,Lyon County,Minnesota,MN
3.91136E+14,MSQA,Midwest Stream-Quality Assessment,"COLE CREEK NEAR HARDIN, IL",391136,903411,39.19333333,-90.56972222,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Greene County,Illinois,IL
2338523,SESQA,Southeast Stream-Quality Assessment,"HILLABAHATCHEE CREEK AT THAXTON RD, NR FRANKLIN,GA",332026,851337,33.34067171,-85.2268901,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Heard County,Georgia,GA
2335870,SESQA,Southeast Stream-Quality Assessment,"SOPE CREEK NEAR MARIETTA, GA",335714,842636,33.95388889,-84.44333333,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Cobb County,Georgia,GA
3.64138E+14,CSQA,California Stream-Quality Assessment,GABILAN C AB E LAUREL DR NR SALINAS CA,364138.27,1213738.11,36.69396389,-121.6272528,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
11152600,CSQA,California Stream-Quality Assessment,GABILAN C NR SALINAS CA,364521,1213634,36.75579196,-121.6105005,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
3.63608E+14,CSQA,California Stream-Quality Assessment,CHUALAR C A CHUALAR CANYON RD NR CHUALAR CA,363607.92,1212551.59,36.6022,-121.4309972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
3.71738E+14,CSQA,California Stream-Quality Assessment,LOS GATOS C A E HAMILTON AVE NR CAMPBELL CA,371738.04,1215558.8,37.2939,-121.933,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.71814E+14,CSQA,California Stream-Quality Assessment,GUADALUPE R A WILLOW GLEN WAY NR SAN JOSE CA,371814.21,1215256.1,37.30394722,-121.88225,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.71554E+14,CSQA,California Stream-Quality Assessment,COYOTE C A COYOTE RD NR SAN JOSE CA,371553.78,1214740.77,37.26493889,-121.7946583,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
11169025,CSQA,California Stream-Quality Assessment,GUADALUPE R ABV HWY 101 A SAN JOSE CA,372226,1215555,37.37382961,-121.9330129,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Santa Clara County,California,CA
11466200,CSQA,California Stream-Quality Assessment,SANTA ROSA C A SANTA ROSA CA,382612,1224325,38.4365787,-122.7247096,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Sonoma County,California,CA
3.82346E+14,CSQA,California Stream-Quality Assessment,UNNAMED TRIB A MONTGOMERY RD NR SEBASTOPOL CA,382346.05,1225212.14,38.396125,-122.8700389,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
11466320,CSQA,California Stream-Quality Assessment,SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA,382643,1224822,38.44519026,-122.8072129,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
2087580,SESQA,Southeast Stream-Quality Assessment,"SWIFT CREEK NEAR APEX, NC",354308,784508,35.71888889,-78.75222222,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Wake County,North Carolina,NC
2146470,SESQA,Southeast Stream-Quality Assessment,"LITTLE HOPE CR AT SENECA PLACE AT CHARLOTTE, NC",350952,805111,35.16444444,-80.85305556,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Mecklenburg County,North Carolina,NC
1208869,NESQA,Northeast Stream-Quality Assessment,"Rooster River near Fairfield, CT",411119,731318,41.18870772,-73.22122462,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Fairfield County,Connecticut,CT
6893350,MSQA,Midwest Stream-Quality Assessment,"TOMAHAWK C NR OVERLAND PARK, KS",385422,943824,38.90611111,-94.64,Interpolated from map,Accurate to +/- 1 minute,NAD83     ,Johnson County,Kansas,KS
1193500,NESQA,Northeast Stream-Quality Assessment,"SALMON RIVER NEAR EAST HAMPTON, CT",413308,722659,41.55232124,-72.44925287,Interpolated from map,Unknown,NAD27     ,Middlesex County,Connecticut,CT
11466800,CSQA,California Stream-Quality Assessment,MARK WEST C NR MIRABEL HEIGHTS CA,382939,1225108,38.49407838,-122.8533258,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
3.83039E+14,CSQA,California Stream-Quality Assessment,WINDSOR C A MARK WEST STATION RD NR WINDSOR CA,383039.34,1225024.39,38.51092778,-122.8401083,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
11466170,CSQA,California Stream-Quality Assessment,MATANZAS C A SANTA ROSA CA,382620,1224205,38.43880073,-122.7024867,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Sonoma County,California,CA
11465350,CSQA,California Stream-Quality Assessment,DRY C NR MOUTH NR HEALDSBURG CA,383515,1225140,38.58741046,-122.8622159,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Sonoma County,California,CA
3.83719E+14,CSQA,California Stream-Quality Assessment,MAACAMA C A CHALK HILL RD BR NR HEALDSBURG CA,383719.05,1224625.28,38.62195833,-122.7736889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sonoma County,California,CA
3.91308E+14,MSQA,Midwest Stream-Quality Assessment,"Skull Lick Creek nr Mexico, MO",391307.9,915508.6,39.21886111,-91.91905556,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Audrain County,Missouri,MO
4.20626E+14,MSQA,Midwest Stream-Quality Assessment,"STILLMAN CREEK AT STILLMAN VALLEY, IL",420626,891012,42.10722222,-89.17,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Ogle County,Illinois,IL
3.91443E+14,MSQA,Midwest Stream-Quality Assessment,"Fish Branch near Mexico, MO",391443.32,915340.28,39.24536667,-91.89452222,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Audrain County,Missouri,MO
209722970,SESQA,Southeast Stream-Quality Assessment,"SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC",355859.6,785724.5,35.98322222,-78.95680556,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Durham County,North Carolina,NC
212467595,SESQA,Southeast Stream-Quality Assessment,"GOOSE CREEK AT SR1525 NR INDIAN TRAIL, NC",350730,803610,35.125,-80.60277778,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Union County,North Carolina,NC
40852508,MSQA,Midwest Stream-Quality Assessment,"TISCH MILLS CREEK AT TISCH MILLS, WI",441939.14,873812.3,44.32753889,-87.63675,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Kewaunee County,Wisconsin,WI
2408540,SESQA,Southeast Stream-Quality Assessment,HATCHET CREEK BELOW ROCKFORD AL,325500,861613,32.91678962,-86.27025073,Interpolated from map,Unknown,NAD27     ,Coosa County,Alabama,AL
12080800,PNSQA,Pacific Northwest Stream-Quality Assessment,"WOODLAND CREEK BELOW DRAHAM ROAD NEAR LACEY, WA",470349,1224826,47.06342958,-122.8084687,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Thurston County,Washington,WA
11176900,CSQA,California Stream-Quality Assessment,ARROYO DE LA LAGUNA A VERONA CA,373736,1215255,37.62659915,-121.8830126,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Alameda County,California,CA
3.65955E+14,CSQA,California Stream-Quality Assessment,UVAS C A MILLER AVE A GILROY CA,365954.72,1213505.85,36.99853333,-121.5849583,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
214627970,SESQA,Southeast Stream-Quality Assessment,"STEWART CREEK AT STATE ST AT CHARLOTTE, NC",351425,805206,35.24027778,-80.86833333,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 5 seconds,NAD83     ,Mecklenburg County,North Carolina,NC
5325148,MSQA,Midwest Stream-Quality Assessment,"SEVENMILE CK BLW FOOTBRIDGE IN PARK NR KASOTA, MN",441543.8,940144.5,44.26216667,-94.02902778,Interpolated from Digital Map,Accurate to +/- .1 second (differentially corrected GPS),NAD83     ,Nicollet County,Minnesota,MN
5481820,MSQA,Midwest Stream-Quality Assessment,"Beaver Creek at Bouton, IA",415057.3,940141.8,41.84925,-94.02827778,Interpolated from Digital Map,Accurate to +/- .1 second (differentially corrected GPS),NAD83     ,Dallas County,Iowa,IA
3.94306E+14,MSQA,Midwest Stream-Quality Assessment,"MUDDY C AT 145TH ST NR WETMORE, KS",394306.06,954842.56,39.71835,-95.81182222,Interpolated from Digital Map,Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS)),NAD83     ,Nemaha County,Kansas,KS
4.01849E+14,MSQA,Midwest Stream-Quality Assessment,"BIG PINE CR AT CO RD N125E NR WILLIAMSPORT, IN",401902.78,871730.34,40.31743889,-87.29176111,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Warren County,Indiana,IN
4.72131E+14,PNSQA,Pacific Northwest Stream-Quality Assessment,LITTLE SOOS CREEK ABV MOUTH NR MAPLE VALLEY,472131,1220725,47.35843404,-122.1248401,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,King County,Washington,WA
3.70512E+14,CSQA,California Stream-Quality Assessment,LLAGAS C A SAN MARTIN AVE A SAN MARTIN CA,370512.27,1213618.74,37.08674167,-121.6052056,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
5592195,MSQA,Midwest Stream-Quality Assessment,"BECK CREEK AT HERRICK, IL",391256,890114,39.21555556,-89.02055556,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Fayette County,Illinois,IL
1095220,NESQA,Northeast Stream-Quality Assessment,"STILLWATER RIVER NEAR STERLING, MA",422439,714730,42.41092507,-71.79118286,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Worcester County,Massachusetts,MA
1192500,NESQA,Northeast Stream-Quality Assessment,"HOCKANUM RIVER NEAR EAST HARTFORD, CT",414659,723516,41.78315482,-72.58731144,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Hartford County,Connecticut,CT
12145970,PNSQA,Pacific Northwest Stream-Quality Assessment,"PATTERSON CREEK ABV CANYON CREEK NR FALL CITY, WA",473508.23,1215659.32,47.58561944,-121.9498111,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,King County,Washington,WA
12121504,PNSQA,Pacific Northwest Stream-Quality Assessment,"E FORK ISSAQUAH CR ABV 3RD AVE NE AT ISSAQUAH, WA",473156.76,1220148.61,47.53243333,-122.0301694,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,King County,Washington,WA
12121570,PNSQA,Pacific Northwest Stream-Quality Assessment,"NORTH FORK ISSAQUAH CREEK AT ISSAQUAH, WA",473234.15,1220205.4,47.54281944,-122.0348333,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,King County,Washington,WA
214642825,SESQA,Southeast Stream-Quality Assessment,"BRIAR CREEK NEAR CHARLOTTE, NC",351410,804616,35.23611111,-80.77111111,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Mecklenburg County,North Carolina,NC
5482300,MSQA,Midwest Stream-Quality Assessment,"North Raccoon River near Sac City, IA",422117.1,945925.2,42.35475,-94.99033333,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Sac County,Iowa,IA
2097517,SESQA,Southeast Stream-Quality Assessment,"MORGAN CREEK NEAR CHAPEL HILL, NC",355336,790111,35.89333333,-79.01972222,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Orange County,North Carolina,NC
209734440,SESQA,Southeast Stream-Quality Assessment,"BOLIN CREEK AT VILLAGE DRIVE AT CHAPEL HILL, NC",355520.3,790357.6,35.92230556,-79.066,Interpolated from Digital Map,Accurate to +/- 10 seconds,NAD83     ,Orange County,North Carolina,NC
2415000,SESQA,Southeast Stream-Quality Assessment,HILLABEE CREEK NEAR HACKNEYVILLE AL,330355,855241,33.06539786,-85.87801863,Interpolated from map,Unknown,NAD27     ,Tallapoosa County,Alabama,AL
212466000,SESQA,Southeast Stream-Quality Assessment,"CLEAR CREEK AT SR3181 NR MINT HILL, NC",351230,803448,35.20833333,-80.58,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Mecklenburg County,North Carolina,NC
12118525,PNSQA,Pacific Northwest Stream-Quality Assessment,"TAYLOR CREEK ABV 236th AVE SE AT MAPLE VALLEY, WA",472430.17,1220135.47,47.40838056,-122.0265194,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,King County,Washington,WA
12120600,PNSQA,Pacific Northwest Stream-Quality Assessment,"ISSAQUAH CREEK NEAR HOBART, WA",472727,1220014,47.45732368,-122.005117,Interpolated from map,Accurate to +/- 1 second,NAD27     ,King County,Washington,WA
3352875,MSQA,Midwest Stream-Quality Assessment,"FALL CREEK AT 16TH STREET AT INDIANAPOLIS, IN",394719.6,861038.9,39.78877778,-86.17747222,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- .1 second (differentially corrected GPS),NAD83     ,Marion County,Indiana,IN
5550500,MSQA,Midwest Stream-Quality Assessment,"POPLAR CREEK AT ELGIN, IL",420134,881520,42.02611111,-88.25555556,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Cook County,Illinois,IL
3.8573E+14,MSQA,Midwest Stream-Quality Assessment,"LITTLE WABASH RIVER NEAR MASON, IL",385730,883244,38.95833333,-88.54555556,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Effingham County,Illinois,IL
2095181,SESQA,Southeast Stream-Quality Assessment,"N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO, NC",360445,794846,36.07916667,-79.81277778,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Guilford County,North Carolina,NC
2344620,SESQA,Southeast Stream-Quality Assessment,"SHOAL CREEK AT GA54, NEAR SHARPSBURG, GA",332321,843729,33.38916667,-84.62472222,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Coweta County,Georgia,GA
5544989,MSQA,Midwest Stream-Quality Assessment,"HONEY CREEK AT CT HIGHWAY DD NEAR BURLINGTON, WI",424310.2,881834,42.7195,-88.30944444,Interpolated from Digital Map,Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS)),NAD83     ,Walworth County,Wisconsin,WI
5426400,MSQA,Midwest Stream-Quality Assessment,"SCUPPERNONG RIVER NEAR PALMYRA, WI",425310,883229,42.88611111,-88.54138889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Waukesha County,Wisconsin,WI
3.74708E+14,CSQA,California Stream-Quality Assessment,SAUSAL C A OAKLAND CA,374708.45,1221327.62,37.78568056,-122.2243389,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Alameda County,California,CA
12113205,PNSQA,Pacific Northwest Stream-Quality Assessment,"MILL CREEK AT PEASLEY CANYON RD S NR AUBURN, WA",471811.76,1221553.6,47.30326667,-122.2648889,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,King County,Washington,WA
12113347,PNSQA,Pacific Northwest Stream-Quality Assessment,"MILL CREEK AT EARTHWORKS PARK AT KENT, WA",472300,1221325,47.38315577,-122.2248429,Interpolated from map,Accurate to +/- 1 second,NAD27     ,King County,Washington,WA
12027555,PNSQA,Pacific Northwest Stream-Quality Assessment,"PRAIRIE CR 0.7 MI UPS FR MOUTH NR GRAND MOUND, WA",464732.58,1230204.16,46.79238333,-123.0344889,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Thurston County,Washington,WA
2335580,SESQA,Southeast Stream-Quality Assessment,"BIG CREEK AT GA 9, NEAR CUMMING, GA",340921,841307,34.15593045,-84.21853052,Interpolated from map,Unknown,NAD27     ,Forsyth County,Georgia,GA
3.94151E+14,MSQA,Midwest Stream-Quality Assessment,"Contrary Creek nr St. Joseph, MO",394151.2,945315.1,39.69755556,-94.88752778,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Buchanan County,Missouri,MO
1121000,NESQA,Northeast Stream-Quality Assessment,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT",415037,721010,41.84370891,-72.16896617,Interpolated from map,Unknown,NAD27     ,Windham County,Connecticut,CT
1174565,NESQA,Northeast Stream-Quality Assessment,"WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA",422718,722256,42.45508906,-72.38175161,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Franklin County,Massachusetts,MA
3.91815E+14,MSQA,Midwest Stream-Quality Assessment,"Goodwater Creek nr Centralia, MO",391815.43,920308.61,39.30428611,-92.05239167,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Audrain County,Missouri,MO
4.00502E+14,MSQA,Midwest Stream-Quality Assessment,"North Fabius River nr Monticello, MO",400501.52,914033.58,40.08375556,-91.67599444,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Lewis County,Missouri,MO
3.91601E+14,MSQA,Midwest Stream-Quality Assessment,"MILL CREEK NEAR CHOCTAW, IL",391601,874148,39.26694444,-87.69666667,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Clark County,Illinois,IL
12102212,PNSQA,Pacific Northwest Stream-Quality Assessment,"SWAN CREEK AT PIONEER WAY TACOMA, WA",471343,1222326,47.22843292,-122.3917891,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Pierce County,Washington,WA
3.74336E+14,CSQA,California Stream-Quality Assessment,SAN LEANDRO C A ALVARADO ST A SAN LEANDRO CA,374335.79,1220958.24,37.72660833,-122.1661778,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Alameda County,California,CA
11180900,CSQA,California Stream-Quality Assessment,CROW C NR HAYWARD CA,374218,1220234,37.70493008,-122.0438508,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Alameda County,California,CA
11460000,CSQA,California Stream-Quality Assessment,CORTE MADERA C A ROSS CA,375747,1223321,37.96297947,-122.5569221,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Marin County,California,CA
40857005,MSQA,Midwest Stream-Quality Assessment,"OTTER CREEK AT WILLOW ROAD NEAR PLYMOUTH, WI",434720,875517,43.78888889,-87.92138889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Sheboygan County,Wisconsin,WI
2336120,SESQA,Southeast Stream-Quality Assessment,"N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA",334953,842034,33.83149307,-84.34270302,Interpolated from map,Accurate to +/- 1 second,NAD27     ,DeKalb County,Georgia,GA
6804000,MSQA,Midwest Stream-Quality Assessment,"Wahoo Creek at Ithaca, Nebr.",410851,963216,41.1475,-96.53777778,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Saunders County,Nebraska,NE
3455500,SESQA,Southeast Stream-Quality Assessment,"W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC",352346,825615,35.39611111,-82.9375,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Haywood County,North Carolina,NC
3.93358E+14,MSQA,Midwest Stream-Quality Assessment,"FRENCH C AT PARALLEL RD, ONAGA, KS",393358,961300.07,39.56611111,-96.21668611,Interpolated from Digital Map,Accurate to +/- .5 second (Precise Positioning Service (PLGR/PPS GPS)),NAD83     ,Pottawatomie County,Kansas,KS
12072679,PNSQA,Pacific Northwest Stream-Quality Assessment,"CRESCENT CR AT CRESCENT VAL DR NR GIG HARBOR, WA",472129,1223438,47.35787501,-122.5784633,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Pierce County,Washington,WA
12073500,PNSQA,Pacific Northwest Stream-Quality Assessment,"HUGE CREEK NEAR WAUNA, WA",472322,1224152,47.38926205,-122.6990241,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Pierce County,Washington,WA
11159200,CSQA,California Stream-Quality Assessment,CORRALITOS C A FREEDOM CA,365622,1214610,36.93939681,-121.7705065,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Cruz County,California,CA
3.90227E+14,MSQA,Midwest Stream-Quality Assessment,"Perche Creek near Columbia, MO",390228.6,922341.4,39.04127778,-92.39483333,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- .1 second (differentially corrected GPS),NAD83     ,Boone County,Missouri,MO
5451210,MSQA,Midwest Stream-Quality Assessment,"South Fork Iowa River NE of New Providence, IA",421854.3,930907.4,42.31508333,-93.15205556,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Hardin County,Iowa,IA
1209700,NESQA,Northeast Stream-Quality Assessment,"NORWALK RIVER AT SOUTH WILTON, CT",410949.56,732510.36,41.16376667,-73.41954444,Interpolated from Digital Map,Accurate to +/- .01 second (differentially corrected GPS),NAD83     ,Fairfield County,Connecticut,CT
1170095,NESQA,Northeast Stream-Quality Assessment,"GREEN RIVER AT STEWARTVILLE, MA",424258.6,724010.3,42.71627778,-72.66952778,Interpolated from map,Unknown,NAD83     ,Franklin County,Massachusetts,MA
11153650,CSQA,California Stream-Quality Assessment,LLAGAS C NR GILROY,365915,1213134,36.98744858,-121.5271622,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Santa Clara County,California,CA
11169800,CSQA,California Stream-Quality Assessment,COYOTE C NR GILROY CA,370440,1212936,37.07772286,-121.4943832,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Clara County,California,CA
11153470,CSQA,California Stream-Quality Assessment,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,370854,1214606,37.14833333,-121.7683333,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.75819E+14,CSQA,California Stream-Quality Assessment,GRAYSON C A GOLF CLUB RD NR PLEASANT HILL CA,375819.2,1220357.6,37.972,-122.066,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Contra Costa County,California,CA
