"SITE_NO","RSQA_STUDY","STATION_NM","COUNTY_NM","STATE_CD","STATE_NM","STATE_ABBREV","RECORD_NO","AGENCY_CD","MEDIUM_CD_DESC","MEDIUM_CD_DEF","SAMPLE_START_DT","SAMPLE_START_TZ_DESC","SAMPLE_END_DT","SAMPLE_END_TZ_DESC","SAMPLE_START_LOCAL_DISP_FM","SAMPLE_START_UTC_DISP_FM","SAMPLE_END_LOCAL_DISP_FM","SAMPLE_END_UTC_DISP_FM","LOCAL_TZ_DESC","TM_DATUM_RLBLTY_CD","HYD_COND_CD","SAMP_TYPE_CD","HYD_EVENT_CD","TU_1_NM","BODY_PART_NM","METH_CD","METH_NM","RESULT_VA","RESULT_SG","RESULT_RD","REMARK_CD","RPT_LEV_VA","RPT_LEV_SG","RPT_LEV_CD","RPT_LEV_NM","PARM_CD","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","LOAD_DT"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700188","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","10/6/2016 2:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201610061030","201610061430","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","863.5","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 10:55:00 AM"
"01372040       ","NESQA","CRUM ELBOW CR AT HYDE PARK NY","Dutchess County","36","New York","NY","01602975","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/7/2016 8:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608071500","201608072000","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","445.6","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 11:18:00 AM"
"01193500       ","NESQA","SALMON RIVER NEAR EAST HAMPTON, CT","Middlesex County","09","Connecticut","CT","01601801","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","9/14/2016 4:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201609141130","201609141630","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","302.6","4","4","","0.1","1","MRL   ","Minimum reporting level","00573","Biological","Biological","Biomass, periphyton, dry wt","7/19/2019 10:52:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700188","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","10/6/2016 2:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201610061030","201610061430","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","00050","Plant pigments, sonication & 445","12.507165","8","3","","0.1","1","MRL   ","Minimum reporting level","70957","Biological","Biological","Chlorophyll a, peri, cf meth","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700258","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060801","201610061201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","2.9","2","2","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700260","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060902","201610061302","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","16.4","3","3","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700260","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060902","201610061302","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","0.8","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:55:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602173","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 2:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608100901","201608101401","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","2","1","2","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602174","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101001","201608101501","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","188","3","3","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:54:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700188","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","10/6/2016 2:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201610061030","201610061430","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","272.6","4","4","","0.1","1","MRL   ","Minimum reporting level","00573","Biological","Biological","Biomass, periphyton, dry wt","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700188","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","10/6/2016 2:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201610061030","201610061430","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","10.8","3","3","","0.1","1","MRL   ","Minimum reporting level","49954","Biological","Biological","Periphyton biomass","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700259","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060901","201610061301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","2","1","2","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:55:00 AM"
"01193500       ","NESQA","SALMON RIVER NEAR EAST HAMPTON, CT","Middlesex County","09","Connecticut","CT","01602006","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/5/2016 2:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608050900","201608051400","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","809.1","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 10:53:00 AM"
"01109000       ","NESQA","WADING RIVER NEAR NORTON, MA","Bristol County","25","Massachusetts","MA","01602009","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/8/2016 4:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608081200","201608081600","","","Eastern Standard Time","K","9","7","9","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","457.9","4","4","","0.1","1","MRL   ","Minimum reporting level","00572","Biological","Biological","Biomass, periphyton, ash wt","7/19/2019 10:53:00 AM"
"01123000       ","NESQA","LITTLE RIVER NEAR HANOVER, CT","Windham County","09","Connecticut","CT","01602196","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/3/2016 2:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608030902","201608031402","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","13.5","3","3","","","","-9999 ","Null value - no value specified.","91106","Biological","Biological","Length of organism","7/19/2019 10:54:00 AM"
"01189000       ","NESQA","PEQUABUCK R AT FORESTVILLE, CT.","Hartford County","09","Connecticut","CT","01602004","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/4/2016 6:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608041300","201608041800","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","126.2","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 10:53:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700258","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060801","201610061201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","4.7","2","2","","","","-9999 ","Null value - no value specified.","72146","Biological","Biological","Organism length, minimum","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700258","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060801","201610061201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","3","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700259","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060901","201610061301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","7.1","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700260","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060902","201610061302","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","2","1","2","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:55:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602173","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 2:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608100901","201608101401","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","0.8","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602174","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101001","201608101501","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","1","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602175","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101002","201608101502","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Organism, whole","-9999","Null Value","10.1","3","3","","","","-9999 ","Null value - no value specified.","62343","Biological","Biological","Specimen weight, total","7/19/2019 10:54:00 AM"
"01193500       ","NESQA","SALMON RIVER NEAR EAST HAMPTON, CT","Middlesex County","09","Connecticut","CT","01602006","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/5/2016 2:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608050900","201608051400","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","206.8","4","4","","0.1","1","MRL   ","Minimum reporting level","00572","Biological","Biological","Biomass, periphyton, ash wt","7/19/2019 10:53:00 AM"
"01193500       ","NESQA","SALMON RIVER NEAR EAST HAMPTON, CT","Middlesex County","09","Connecticut","CT","01602006","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/5/2016 2:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608050900","201608051400","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","218.5","4","4","","0.1","1","MRL   ","Minimum reporting level","00573","Biological","Biological","Biomass, periphyton, dry wt","7/19/2019 10:53:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700258","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060801","201610061201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","5.1","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700259","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060901","201610061301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","58","2","2","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700259","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060901","201610061301","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","4.6","2","2","","","","-9999 ","Null value - no value specified.","72146","Biological","Biological","Organism length, minimum","7/19/2019 10:55:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602175","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101002","201608101502","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Organism, whole","-9999","Null Value","77","2","2","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602175","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101002","201608101502","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Organism, whole","-9999","Null Value","7.8","2","2","","","","-9999 ","Null value - no value specified.","72140","Biological","Biological","Organism length, maximum","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602175","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101002","201608101502","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Organism, whole","-9999","Null Value","2","1","1","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602176","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:03:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101003","201608101503","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","ALGOR","Computation by NWIS algorithm","29.4","4","3","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602173","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 2:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201608100901","201608101401","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","10","2","2","","","","-9999 ","Null value - no value specified.","81614","Biological","Biological","IndividualsInSample","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602175","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101002","201608101502","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Organism, whole","-9999","Null Value","0.2","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:54:00 AM"
"01187300       ","NESQA","HUBBARD RIVER NEAR WEST HARTLAND, CT","Hartford County","09","Connecticut","CT","01602176","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","8/10/2016 3:03:00 PM","Eastern Standard Time","","Eastern Standard Time","201608101003","201608101503","","","Eastern Standard Time","K","X","9","X","Salvelinus                         ","Fillet","-9999","Null Value","29.4","3","3","","","","-9999 ","Null value - no value specified.","91104","Biological","Biological","Weight of organism","7/19/2019 10:54:00 AM"
